The United States of America, Exposure to risk (period 1x1)     Last modified: 21-Jul-2015, MPv5 (May07)

   Year      Age       Female          Male         Total
   1933        0      1016279.94   1054719.03   2070998.97 
   1933        1      1019703.69   1043116.22   2062819.91 
   1933        2      1073806.91   1097975.81   2171782.71 
   1933        3      1100641.34   1126574.64   2227215.97 
   1933        4      1124605.91   1165966.03   2290571.95 
   1933        5      1152363.12   1207363.22   2359726.34 
   1933        6      1179392.55   1231450.27   2410842.82 
   1933        7      1196502.20   1240369.37   2436871.57 
   1933        8      1213737.54   1249283.26   2463020.80 
   1933        9      1227144.26   1253914.54   2481058.80 
   1933       10      1237150.14   1257953.09   2495103.23 
   1933       11      1246660.61   1264531.10   2511191.71 
   1933       12      1237975.11   1254328.34   2492303.45 
   1933       13      1216656.83   1229372.70   2446029.53 
   1933       14      1197278.28   1205234.94   2402513.22 
   1933       15      1182385.11   1186037.89   2368423.00 
   1933       16      1173258.41   1172405.57   2345663.98 
   1933       17      1168506.91   1162965.65   2331472.56 
   1933       18      1164313.60   1154324.06   2318637.65 
   1933       19      1158706.12   1144601.96   2303308.08 
   1933       20      1151103.83   1132968.14   2284071.97 
   1933       21      1140920.26   1118803.45   2259723.71 
   1933       22      1128455.98   1102513.69   2230969.67 
   1933       23      1114964.10   1085536.91   2200501.01 
   1933       24      1100822.91   1068626.34   2169449.25 
   1933       25      1084991.19   1051569.81   2136561.00 
   1933       26      1066765.24   1034283.74   2101048.98 
   1933       27      1046809.48   1017014.86   2063824.34 
   1933       28      1026366.63   1000145.03   2026511.66 
   1933       29      1006078.27    983860.22   1989938.49 
   1933       30       986202.79    968152.91   1954355.70 
   1933       31       966961.08    952979.33   1919940.41 
   1933       32       948227.52    938333.25   1886560.77 
   1933       33       929219.36    923700.28   1852919.64 
   1933       34       910629.04    909835.66   1820464.70 
   1933       35       896335.01    900656.66   1796991.67 
   1933       36       889466.20    899230.94   1788697.14 
   1933       37       888367.37    903795.10   1792162.47 
   1933       38       889383.97    910448.51   1799832.48 
   1933       39       889271.01    915834.99   1805105.99 
   1933       40       882740.49    914875.97   1797616.46 
   1933       41       865390.77    903277.36   1768668.13 
   1933       42       839259.02    882953.65   1722212.68 
   1933       43       809780.92    859125.87   1668906.79 
   1933       44       780185.45    834654.31   1614839.75 
   1933       45       752596.70    810865.97   1563462.67 
   1933       46       728744.36    788704.77   1517449.13 
   1933       47       707735.77    767544.28   1475280.04 
   1933       48       687108.01    745760.93   1432868.93 
   1933       49       665921.23    722938.32   1388859.55 
   1933       50       644703.96    699885.81   1344589.77 
   1933       51       623966.39    677368.45   1301334.85 
   1933       52       603816.88    655432.12   1259249.00 
   1933       53       584206.36    633783.90   1217990.26 
   1933       54       564772.10    611948.62   1176720.73 
   1933       55       544621.17    589006.28   1133627.45 
   1933       56       523053.97    564299.38   1087353.35 
   1933       57       500408.94    538289.57   1038698.50 
   1933       58       477474.59    511883.28    989357.87 
   1933       59       454848.62    485797.18    940645.80 
   1933       60       433381.10    461120.23    894501.32 
   1933       61       413553.28    438581.62    852134.91 
   1933       62       394929.71    417687.94    812617.65 
   1933       63       376803.05    397456.24    774259.29 
   1933       64       358817.80    377303.74    736121.54 
   1933       65       340385.19    356521.67    696906.86 
   1933       66       320944.89    334479.36    655424.25 
   1933       67       300879.79    311588.23    612468.03 
   1933       68       280786.22    288665.08    569451.30 
   1933       69       261045.58    266276.07    527321.65 
   1933       70       242258.93    245249.42    487508.36 
   1933       71       224898.86    226242.70    451141.55 
   1933       72       208812.22    208999.88    417812.10 
   1933       73       193446.16    192697.08    386143.25 
   1933       74       180722.51    178919.13    359641.64 
   1933       75       165590.79    162713.13    328303.92 
   1933       76       148781.76    144721.12    293502.88 
   1933       77       131645.42    126502.85    258148.27 
   1933       78       115314.39    109268.68    224583.07 
   1933       79       100246.12     93445.60    193691.73 
   1933       80        89031.55     79326.12    168357.67 
   1933       81        76606.46     66857.09    143463.54 
   1933       82        65580.29     56007.77    121588.06 
   1933       83        55684.78     46497.71    102182.49 
   1933       84        46694.77     38118.91     84813.69 
   1933       85        38597.44     30790.67     69388.11 
   1933       86        31456.08     24510.66     55966.74 
   1933       87        25254.41     19204.72     44459.12 
   1933       88        20010.91     14801.58     34812.49 
   1933       89        15654.42     11224.86     26879.28 
   1933       90        12078.91      8380.15     20459.06 
   1933       91         9242.38      6189.27     15431.65 
   1933       92         6998.31      4526.49     11524.81 
   1933       93         5224.45      3287.57      8512.01 
   1933       94         3855.16      2368.99      6224.16 
   1933       95         2825.06      1681.01      4506.07 
   1933       96         2063.55      1180.05      3243.60 
   1933       97         1512.04       837.31      2349.34 
   1933       98         1135.38       633.34      1768.72 
   1933       99          884.87       498.00      1382.88 
   1933      100          660.96       361.19      1022.15 
   1933      101          455.51       244.48       699.99 
   1933      102          309.40       163.94       473.35 
   1933      103          207.16       107.53       314.69 
   1933      104          137.22        69.44       206.66 
   1933      105           89.36        44.42       133.78 
   1933      106           56.91        28.14        85.06 
   1933      107           35.88        17.81        53.69 
   1933      108           22.82        10.63        33.45 
   1933      109           14.09         6.05        20.14 
   1933      110+          15.77         6.26        22.02 
   1934        0       994488.09   1034038.95   2028527.04 
   1934        1       966283.36    989134.21   1955417.57 
   1934        2      1039236.00   1061068.74   2100304.74 
   1934        3      1082023.07   1106654.32   2188677.40 
   1934        4      1106470.24   1136012.29   2242482.53 
   1934        5      1132737.43   1178389.38   2311126.81 
   1934        6      1154647.18   1208887.33   2363534.50 
   1934        7      1178295.83   1227622.50   2405918.33 
   1934        8      1195500.82   1237231.14   2432731.95 
   1934        9      1212995.18   1246688.25   2459683.42 
   1934       10      1226567.84   1251945.69   2478513.53 
   1934       11      1236949.88   1256383.28   2493333.16 
   1934       12      1245470.08   1261358.92   2506829.00 
   1934       13      1236152.96   1249421.83   2485574.78 
   1934       14      1215620.29   1224217.48   2439837.77 
   1934       15      1196627.52   1199716.87   2396344.40 
   1934       16      1181687.82   1179869.20   2361557.03 
   1934       17      1172353.59   1165950.64   2338304.23 
   1934       18      1167283.70   1156653.49   2323937.19 
   1934       19      1162741.06   1148369.64   2311110.70 
   1934       20      1156743.35   1138958.67   2295702.02 
   1934       21      1148635.01   1127624.26   2276259.27 
   1934       22      1137690.53   1113550.12   2251240.65 
   1934       23      1124280.89   1097222.43   2221503.32 
   1934       24      1109780.94   1080198.87   2189979.81 
   1934       25      1094676.31   1063285.12   2157961.43 
   1934       26      1078223.21   1046375.55   2124598.76 
   1934       27      1060042.68   1029459.33   2089502.01 
   1934       28      1040764.17   1012772.97   2053537.14 
   1934       29      1021265.00    996541.53   2017806.53 
   1934       30      1001919.14    980860.32   1982779.46 
   1934       31       982836.48    965626.11   1948462.59 
   1934       32       964051.51    950751.14   1914802.65 
   1934       33       945414.97    936194.31   1881609.27 
   1934       34       926348.60    921533.00   1847881.60 
   1934       35       907684.29    907621.84   1815306.13 
   1934       36       893087.95    898093.33   1791181.28 
   1934       37       885480.57    895856.93   1781337.50 
   1934       38       883250.22    899170.02   1782420.23 
   1934       39       882961.85    904355.79   1787317.63 
   1934       40       881548.35    908286.70   1789835.05 
   1934       41       874078.78    906202.39   1780281.17 
   1934       42       856575.43    894298.32   1750873.75 
   1934       43       831025.51    874419.08   1705444.59 
   1934       44       802438.41    851337.00   1653775.41 
   1934       45       773725.97    827605.95   1601331.93 
   1934       46       746700.24    804187.78   1550888.02 
   1934       47       722738.97    781684.82   1504423.78 
   1934       48       700984.66    759497.05   1460481.71 
   1934       49       679368.42    736429.65   1415798.08 
   1934       50       657230.55    712355.39   1369585.94 
   1934       51       635240.33    688218.87   1323459.20 
   1934       52       614111.75    664938.49   1279050.24 
   1934       53       593945.00    642576.20   1236521.20 
   1934       54       574477.40    620658.06   1195135.46 
   1934       55       555224.39    598609.84   1153834.22 
   1934       56       535366.35    575653.40   1111019.76 
   1934       57       514296.30    551265.55   1065561.85 
   1934       58       492299.19    525851.75   1018150.94 
   1934       59       470047.43    500142.96    970190.39 
   1934       60       448075.05    474735.23    922810.28 
   1934       61       426944.63    450470.42    877415.05 
   1934       62       406943.83    427862.45    834806.28 
   1934       63       387646.81    406439.56    794086.37 
   1934       64       368639.50    385509.56    754149.05 
   1934       65       349832.75    364720.80    714553.55 
   1934       66       330649.22    343374.10    674023.31 
   1934       67       310699.30    320973.31    631672.61 
   1934       68       290343.77    297915.78    588259.55 
   1934       69       270025.18    274884.20    544909.39 
   1934       70       250055.42    252377.69    502433.10 
   1934       71       231010.77    231206.48    462217.26 
   1934       72       213462.25    212122.43    425584.68 
   1934       73       197248.15    194862.82    392110.97 
   1934       74       183365.20    180049.51    363414.71 
   1934       75       171160.42    166852.67    338013.09 
   1934       76       154359.75    149228.08    303587.84 
   1934       77       137123.07    131104.23    268227.30 
   1934       78       120387.86    113604.81    233992.67 
   1934       79       104528.54     97168.81    201697.35 
   1934       80        92756.95     82666.95    175423.90 
   1934       81        79345.54     69311.43    148656.97 
   1934       82        67549.94     57722.65    125272.59 
   1934       83        57210.43     47767.05    104977.49 
   1934       84        48058.72     39164.19     87222.91 
   1934       85        39842.92     31677.71     71520.63 
   1934       86        32567.73     25264.95     57832.67 
   1934       87        26192.87     19817.77     46010.64 
   1934       88        20715.05     15281.35     35996.40 
   1934       89        16152.76     11584.43     27737.18 
   1934       90        12418.44      8637.23     21055.66 
   1934       91         9442.41      6373.29     15815.69 
   1934       92         7122.94      4663.86     11786.79 
   1934       93         5329.25      3396.19      8725.43 
   1934       94         3939.06      2466.05      6405.11 
   1934       95         2882.53      1770.22      4652.76 
   1934       96         2117.10      1253.64      3370.74 
   1934       97         1557.99       879.24      2437.23 
   1934       98         1155.00       628.18      1783.17 
   1934       99          873.02       480.99      1354.01 
   1934      100          649.72       355.73      1005.45 
   1934      101          460.87       238.01       698.89 
   1934      102          313.13       157.67       470.80 
   1934      103          209.59       103.51       313.10 
   1934      104          138.24        65.98       204.22 
   1934      105           90.34        41.22       131.57 
   1934      106           57.98        25.50        83.48 
   1934      107           36.23        15.62        51.84 
   1934      108           22.46         9.62        32.07 
   1934      109           14.24         5.35        19.59 
   1934      110+          16.96         4.57        21.53 
   1935        0       952183.55    988485.20   1940668.75 
   1935        1       936780.04    959653.64   1896433.68 
   1935        2      1008719.42   1028860.33   2037579.75 
   1935        3      1051571.18   1074967.06   2126538.23 
   1935        4      1081696.69   1106259.64   2187956.34 
   1935        5      1123038.88   1162467.95   2285506.82 
   1935        6      1133824.63   1179708.90   2313533.54 
   1935        7      1154018.63   1204942.18   2358960.81 
   1935        8      1177338.02   1223648.37   2400986.40 
   1935        9      1194819.60   1234106.37   2428925.97 
   1935       10      1212435.20   1244050.29   2456485.49 
   1935       11      1226105.06   1249967.61   2476072.67 
   1935       12      1237111.73   1255031.94   2492143.67 
   1935       13      1243972.72   1257628.70   2501601.41 
   1935       14      1234056.17   1243732.66   2477788.83 
   1935       15      1214443.01   1218301.10   2432744.11 
   1935       16      1195884.34   1193308.04   2389192.38 
   1935       17      1180925.93   1172749.95   2353675.88 
   1935       18      1171398.47   1158576.68   2329975.15 
   1935       19      1166019.21   1149534.21   2315553.42 
   1935       20      1161119.45   1141701.76   2302821.21 
   1935       21      1154735.03   1132750.95   2287485.99 
   1935       22      1146089.11   1121784.78   2267873.89 
   1935       23      1134333.71   1107890.11   2242223.82 
   1935       24      1119889.48   1091591.78   2211481.26 
   1935       25      1104256.87   1074566.48   2178823.35 
   1935       26      1088047.35   1057663.85   2145711.20 
   1935       27      1070877.30   1040893.46   2111770.76 
   1935       28      1052781.93   1024396.45   2077178.38 
   1935       29      1034334.54   1008379.70   2042714.24 
   1935       30      1015932.01    992875.32   2008807.32 
   1935       31       997676.75    977864.28   1975541.03 
   1935       32       979495.99    963177.94   1942673.93 
   1935       33       961193.16    948615.02   1909808.18 
   1935       34       942605.11    934126.47   1876731.58 
   1935       35       923473.53    919453.88   1842927.41 
   1935       36       904747.85    905492.94   1810240.79 
   1935       37       889848.54    895628.51   1785477.05 
   1935       38       881404.68    892477.75   1773882.43 
   1935       39       877883.64    894358.99   1772242.63 
   1935       40       876099.19    897878.25   1773977.44 
   1935       41       873152.70    900095.47   1773248.18 
   1935       42       864574.99    896737.77   1761312.76 
   1935       43       846919.33    884516.34   1731435.68 
   1935       44       822069.33    865205.02   1687274.35 
   1935       45       794530.29    843000.89   1637531.18 
   1935       46       766851.74    820149.58   1587001.32 
   1935       47       740488.87    797190.27   1537679.14 
   1935       48       716375.51    774271.68   1490647.19 
   1935       49       693724.29    750877.39   1444601.69 
   1935       50       670980.73    726357.56   1397338.29 
   1935       51       647757.71    700894.67   1348652.38 
   1935       52       624943.91    675585.16   1300529.06 
   1935       53       603447.93    651537.44   1254985.37 
   1935       54       583354.00    628805.51   1212159.51 
   1935       55       564104.98    606654.21   1170759.19 
   1935       56       545058.43    584389.69   1129448.12 
   1935       57       525514.39    561411.12   1086925.52 
   1935       58       504974.25    537374.76   1042349.02 
   1935       59       483678.68    512626.11    996304.79 
   1935       60       462193.86    487723.56    949917.42 
   1935       61       440987.17    463160.91    904148.08 
   1935       62       420336.18    439477.54    859813.72 
   1935       63       400179.63    416856.28    817035.91 
   1935       64       380158.77    394879.05    775037.82 
   1935       65       360206.99    373209.00    733415.99 
   1935       66       340439.64    351649.21    692088.85 
   1935       67       320410.62    329643.62    650054.25 
   1935       68       299888.52    306849.77    606738.29 
   1935       69       279230.66    283665.34    562896.00 
   1935       70       258712.92    260604.23    519317.15 
   1935       71       238564.43    238100.78    476665.21 
   1935       72       219378.62    216960.58    436339.21 
   1935       73       201734.05    197921.88    399655.93 
   1935       74       185461.15    180709.33    366170.48 
   1935       75       176601.67    170537.85    347139.52 
   1935       76       159359.99    152705.76    312065.74 
   1935       77       142074.05    134836.14    276910.20 
   1935       78       125227.20    117400.39    242627.60 
   1935       79       108999.60    100750.97    209750.57 
   1935       80        97203.12     86376.07    183579.18 
   1935       81        82774.23     72245.97    155020.20 
   1935       82        70068.36     59896.07    129964.42 
   1935       83        59005.28     49286.56    108291.84 
   1935       84        49425.25     40283.91     89709.16 
   1935       85        41036.25     32582.63     73618.88 
   1935       86        33624.10     26005.70     59629.81 
   1935       87        27107.39     20423.10     47530.49 
   1935       88        21462.85     15750.46     37213.32 
   1935       89        16687.18     11932.96     28620.14 
   1935       90        12780.07      8884.48     21664.55 
   1935       91         9682.90      6540.41     16223.32 
   1935       92         7254.67      4777.50     12032.17 
   1935       93         5408.40      3479.75      8888.15 
   1935       94         4013.30      2534.41      6547.72 
   1935       95         2943.25      1837.44      4780.69 
   1935       96         2154.84      1321.90      3476.75 
   1935       97         1594.06       939.28      2533.34 
   1935       98         1185.16       662.75      1847.92 
   1935       99          877.96       473.46      1351.41 
   1935      100          626.58       341.23       967.82 
   1935      101          441.09       235.25       676.35 
   1935      102          307.15       154.50       461.65 
   1935      103          204.77       100.41       305.18 
   1935      104          134.33        64.77       199.11 
   1935      105           86.74        40.13       126.88 
   1935      106           55.63        24.21        79.84 
   1935      107           34.93        14.47        49.40 
   1935      108           21.16         8.55        29.71 
   1935      109           12.76         5.16        17.91 
   1935      110+          16.26         3.84        20.10 
   1936        0       957551.98    995918.15   1953470.12 
   1936        1       949386.27    974854.58   1924240.85 
   1936        2       999472.06   1020968.86   2020440.92 
   1936        3      1017273.52   1039694.82   2056968.34 
   1936        4      1049663.18   1072376.48   2122039.66 
   1936        5      1103389.41   1140397.95   2243787.35 
   1936        6      1118968.51   1157155.39   2276123.89 
   1936        7      1131897.59   1175495.21   2307392.80 
   1936        8      1153429.86   1200757.40   2354187.26 
   1936        9      1176576.80   1219582.30   2396159.10 
   1936       10      1194204.09   1230826.49   2425030.58 
   1936       11      1211910.03   1241305.21   2453215.24 
   1936       12      1225910.36   1248117.13   2474027.49 
   1936       13      1236864.12   1252991.44   2489855.55 
   1936       14      1242056.99   1252972.09   2495029.08 
   1936       15      1231680.18   1237141.28   2468821.46 
   1936       16      1213049.32   1211376.93   2424426.25 
   1936       17      1194936.08   1185841.95   2380778.03 
   1936       18      1179972.95   1164629.59   2344602.54 
   1936       19      1170276.51   1150343.22   2320619.73 
   1936       20      1164588.77   1141697.33   2306286.10 
   1936       21      1159289.63   1134382.25   2293671.88 
   1936       22      1152493.33   1125995.56   2278488.89 
   1936       23      1143275.13   1115488.76   2258763.90 
   1936       24      1130632.52   1101851.57   2232484.09 
   1936       25      1115023.45   1085623.95   2200647.40 
   1936       26      1098121.85   1068574.62   2166696.47 
   1936       27      1080721.55   1051682.38   2132403.92 
   1936       28      1062880.88   1035102.62   2097983.50 
   1936       29      1045030.88   1019118.21   2064149.08 
   1936       30      1027559.45   1003856.42   2031415.87 
   1936       31      1010400.47    989176.51   1999576.98 
   1936       32       993346.61    974909.37   1968255.98 
   1936       33       976070.37    960766.01   1936836.38 
   1936       34       958166.71    946472.86   1904639.57 
   1936       35       939623.50    932053.41   1871676.90 
   1936       36       920442.99    917399.96   1837842.95 
   1936       37       901653.47    903380.49   1805033.96 
   1936       38       886365.44    893091.17   1779456.60 
   1936       39       876955.00    888856.93   1765811.92 
   1936       40       871969.52    889101.95   1761071.47 
   1936       41       868473.91    890742.37   1759216.28 
   1936       42       863838.58    891097.43   1754936.01 
   1936       43       854167.74    886461.28   1740629.01 
   1936       44       836462.14    874058.85   1710520.99 
   1936       45       812474.32    855431.88   1667906.20 
   1936       46       786107.75    834280.32   1620388.07 
   1936       47       759566.15    812382.23   1571948.38 
   1936       48       733824.31    789816.47   1523640.78 
   1936       49       709427.01    766329.92   1475756.93 
   1936       50       685776.52    741613.00   1427389.52 
   1936       51       661799.79    715544.12   1377343.91 
   1936       52       637466.30    688629.53   1326095.83 
   1936       53       613862.43    662166.07   1276028.51 
   1936       54       592087.50    637409.81   1229497.31 
   1936       55       572106.31    614311.37   1186417.68 
   1936       56       553088.28    591910.20   1144998.48 
   1936       57       534268.03    569431.95   1103699.98 
   1936       58       515061.94    546458.43   1061520.37 
   1936       59       495102.90    522834.47   1017937.38 
   1936       60       474586.39    498853.84    973440.23 
   1936       61       454009.25    474909.00    928918.25 
   1936       62       433653.95    451272.81    884926.76 
   1936       63       413455.24    428161.27    841616.50 
   1936       64       393065.16    405460.03    798525.19 
   1936       65       372218.33    382865.43    755083.75 
   1936       66       351232.00    360380.33    711612.33 
   1936       67       330430.90    338019.29    668450.20 
   1936       68       309540.30    315395.14    624935.45 
   1936       69       288472.16    292298.30    580770.46 
   1936       70       267556.15    269054.01    536610.16 
   1936       71       246903.63    246050.68    492954.32 
   1936       72       226630.87    223622.38    450253.25 
   1936       73       207367.74    202591.33    409959.08 
   1936       74       189672.03    183646.51    373318.54 
   1936       75       179788.77    172295.04    352083.81 
   1936       76       163550.73    155325.18    318875.91 
   1936       77       146486.47    137884.46    284370.94 
   1936       78       129560.60    120633.51    250194.11 
   1936       79       113255.80    104043.11    217298.91 
   1936       80       101690.58     89811.99    191502.57 
   1936       81        86547.47     75229.39    161776.86 
   1936       82        72933.01     62216.43    135149.44 
   1936       83        61030.48     50933.72    111964.19 
   1936       84        50759.67     41341.45     92101.11 
   1936       85        41941.26     33282.49     75223.75 
   1936       86        34349.76     26526.81     60876.57 
   1936       87        27706.57     20817.30     48523.87 
   1936       88        21954.49     16052.42     38006.91 
   1936       89        17070.28     12147.81     29218.09 
   1936       90        13027.42      9031.75     22059.18 
   1936       91         9840.68      6638.95     16479.63 
   1936       92         7357.49      4837.48     12194.97 
   1936       93         5449.96      3516.86      8966.82 
   1936       94         4031.12      2561.08      6592.20 
   1936       95         2967.89      1858.43      4826.32 
   1936       96         2169.85      1347.22      3517.06 
   1936       97         1589.61       970.97      2560.58 
   1936       98         1184.45       693.04      1877.48 
   1936       99          878.63       486.58      1365.22 
   1936      100          611.56       328.16       939.72 
   1936      101          413.69       224.69       638.37 
   1936      102          285.96       152.62       438.57 
   1936      103          195.00        98.77       293.77 
   1936      104          127.29        63.28       190.57 
   1936      105           81.61        40.41       122.02 
   1936      106           51.42        24.38        75.79 
   1936      107           32.33        14.19        46.51 
   1936      108           19.80         8.17        27.97 
   1936      109           11.48         4.66        16.15 
   1936      110+          14.54         4.11        18.64 
   1937        0       965033.65   1002291.35   1967325.00 
   1937        1       959366.91    986444.78   1945811.69 
   1937        2      1018984.98   1044583.16   2063568.14 
   1937        3      1008394.61   1031923.22   2040317.83 
   1937        4      1015860.94   1037314.01   2053174.95 
   1937        5      1071294.85   1105324.04   2176618.89 
   1937        6      1098681.60   1134479.57   2233161.17 
   1937        7      1115330.60   1152310.19   2267640.79 
   1937        8      1130375.16   1171674.21   2302049.38 
   1937        9      1153164.37   1196928.49   2350092.85 
   1937       10      1176135.20   1215857.03   2391992.24 
   1937       11      1193903.32   1227846.69   2421750.01 
   1937       12      1211612.73   1238822.99   2450435.72 
   1937       13      1225859.89   1246379.56   2472239.45 
   1937       14      1236619.36   1250962.62   2487581.98 
   1937       15      1240099.84   1248271.41   2488371.26 
   1937       16      1229279.43   1230489.91   2459769.34 
   1937       17      1211604.84   1204408.11   2416012.95 
   1937       18      1193947.39   1178364.62   2372312.01 
   1937       19      1179018.40   1156541.68   2335560.08 
   1937       20      1169162.93   1142173.98   2311336.92 
   1937       21      1163130.53   1133862.81   2296993.34 
   1937       22      1157469.91   1127121.95   2284591.85 
   1937       23      1150330.51   1119350.17   2269680.68 
   1937       24      1140598.82   1109375.80   2249974.63 
   1937       25      1127079.77   1096025.58   2223105.34 
   1937       26      1110328.55   1079842.03   2190170.58 
   1937       27      1092166.05   1062757.58   2154923.63 
   1937       28      1073582.94   1045854.61   2119437.55 
   1937       29      1055083.16   1029446.11   2084529.26 
   1937       30      1037466.16   1013943.07   2051409.23 
   1937       31      1020957.45    999423.93   2020381.38 
   1937       32      1005015.91    985532.99   1990548.90 
   1937       33       989087.72    971931.06   1961018.78 
   1937       34       972617.96    958253.73   1930871.70 
   1937       35       955105.92    944207.32   1899313.24 
   1937       36       936595.08    929853.83   1866448.91 
   1937       37       917380.02    915207.08   1832587.10 
   1937       38       898551.43    901150.08   1799701.51 
   1937       39       882916.95    890438.12   1773355.07 
   1937       40       872542.99    885100.25   1757643.23 
   1937       41       866081.86    883718.21   1749800.07 
   1937       42       860850.69    883451.33   1744302.02 
   1937       43       854515.30    881910.83   1736426.12 
   1937       44       843697.61    875979.31   1719676.92 
   1937       45       825944.94    863339.64   1689284.58 
   1937       46       802752.48    845388.37   1648140.85 
   1937       47       777535.47    825215.55   1602751.02 
   1937       48       752083.86    804211.90   1556295.76 
   1937       49       726927.31    781996.69   1508924.01 
   1937       50       702236.50    757937.35   1460173.85 
   1937       51       677572.13    731909.61   1409481.74 
   1937       52       652405.19    704326.06   1356731.25 
   1937       53       626999.53    676032.39   1303031.91 
   1937       54       602653.42    648486.58   1251139.99 
   1937       55       580597.93    623040.29   1203638.22 
   1937       56       560717.72    599592.55   1160310.27 
   1937       57       541882.16    576924.59   1118806.75 
   1937       58       523191.26    554160.91   1077352.18 
   1937       59       504219.71    531105.77   1035325.47 
   1937       60       484751.40    507832.67    992584.07 
   1937       61       464973.51    484575.16    949548.67 
   1937       62       445232.94    461507.33    906740.27 
   1937       63       425674.48    438744.42    864418.90 
   1937       64       405901.48    416166.22    822067.70 
   1937       65       385246.69    393366.02    778612.71 
   1937       66       363585.74    370159.81    733745.55 
   1937       67       341563.42    346888.75    688452.17 
   1937       68       319830.22    323794.71    643624.94 
   1937       69       298020.70    300632.20    598652.90 
   1937       70       276444.63    277285.75    553730.38 
   1937       71       255315.95    254052.73    509368.68 
   1937       72       234546.32    231151.82    465698.14 
   1937       73       214211.35    208888.36    423099.71 
   1937       74       194924.65    188033.12    382957.77 
   1937       75       181602.55    173232.07    354834.62 
   1937       76       166482.38    157010.03    323492.41 
   1937       77       150343.26    140337.81    290681.07 
   1937       78       133596.42    123448.70    257045.12 
   1937       79       117204.98    107003.34    224208.32 
   1937       80       105857.45     92772.30    198629.75 
   1937       81        90503.12     78060.52    168563.64 
   1937       82        76227.58     64642.99    140870.57 
   1937       83        63464.87     52757.12    116221.99 
   1937       84        52398.27     42563.52     94961.79 
   1937       85        42926.94     33994.80     76921.75 
   1937       86        34945.17     26962.67     61907.85 
   1937       87        28163.89     21142.44     49306.34 
   1937       88        22329.73     16304.01     38633.74 
   1937       89        17385.48     12345.84     29731.32 
   1937       90        13282.40      9166.78     22449.18 
   1937       91        10005.61      6722.49     16728.10 
   1937       92         7468.43      4884.48     12352.91 
   1937       93         5530.22      3534.43      9064.65 
   1937       94         4063.10      2561.86      6624.96 
   1937       95         2978.56      1851.65      4830.22 
   1937       96         2185.30      1337.36      3522.66 
   1937       97         1594.63       968.94      2563.56 
   1937       98         1171.29       702.13      1873.41 
   1937       99          872.54       500.28      1372.82 
   1937      100          610.45       333.65       944.10 
   1937      101          401.97       215.28       617.24 
   1937      102          267.47       144.94       412.41 
   1937      103          181.66        97.27       278.93 
   1937      104          121.49        62.18       183.68 
   1937      105           77.72        39.40       117.12 
   1937      106           48.71        25.06        73.78 
   1937      107           29.93        14.67        44.60 
   1937      108           18.52         8.14        26.66 
   1937      109           11.06         4.47        15.53 
   1937      110+          13.34         4.31        17.65 
   1938        0       987673.69   1025299.38   2012973.06 
   1938        1       969062.97    996106.47   1965169.43 
   1938        2      1037210.89   1065740.04   2102950.92 
   1938        3      1029142.28   1056982.94   2086125.22 
   1938        4      1008099.26   1030612.14   2038711.40 
   1938        5      1038487.63   1070103.34   2108590.98 
   1938        6      1067227.83   1099980.93   2167208.75 
   1938        7      1094961.72   1129602.81   2224564.53 
   1938        8      1112663.80   1148441.13   2261104.94 
   1938        9      1129751.53   1168802.03   2298553.56 
   1938       10      1153804.76   1194047.36   2347852.12 
   1938       11      1176607.89   1213051.14   2389659.03 
   1938       12      1194438.65   1225754.87   2420193.52 
   1938       13      1212078.33   1237084.77   2449163.10 
   1938       14      1226441.38   1245287.00   2471728.37 
   1938       15      1236958.95   1249517.69   2486476.65 
   1938       16      1238747.43   1244134.64   2482882.07 
   1938       17      1227450.35   1224407.73   2451858.09 
   1938       18      1210733.36   1198028.16   2408761.52 
   1938       19      1193562.30   1171506.78   2365069.08 
   1938       20      1178668.03   1149095.74   2327763.77 
   1938       21      1168613.19   1134583.69   2303196.88 
   1938       22      1162269.45   1126663.42   2288932.87 
   1938       23      1156311.09   1120545.12   2276856.21 
   1938       24      1148881.85   1113454.36   2262336.21 
   1938       25      1138640.97   1104031.64   2242672.61 
   1938       26      1124255.21   1090935.58   2215190.79 
   1938       27      1106360.22   1074774.81   2181135.03 
   1938       28      1086936.05   1057625.90   2144561.95 
   1938       29      1067172.37   1040685.29   2107857.65 
   1938       30      1048004.00   1024413.43   2072417.43 
   1938       31      1030602.82   1009374.91   2039977.73 
   1938       32      1015026.95    995559.12   2010586.07 
   1938       33      1000219.12    982371.03   1982590.15 
   1938       34       985308.59    969348.31   1954656.90 
   1938       35       969624.51    956107.24   1925731.75 
   1938       36       952478.98    942292.45   1894771.43 
   1938       37       934002.21    927987.16   1861989.38 
   1938       38       914769.08    913359.39   1828128.47 
   1938       39       895932.19    899087.68   1795019.87 
   1938       40       879939.80    888088.96   1768028.76 
   1938       41       868578.17    881645.89   1750224.06 
   1938       42       860609.52    878600.89   1739210.41 
   1938       43       853627.31    876391.26   1730018.56 
   1938       44       845538.63    872942.75   1718481.38 
   1938       45       833584.97    865673.02   1699257.99 
   1938       46       815720.14    852794.86   1668515.00 
   1938       47       793293.88    835443.02   1628736.90 
   1938       48       769168.47    816179.49   1585347.97 
   1938       49       744749.11    796004.54   1540753.65 
   1938       50       720138.47    774097.62   1494236.09 
   1938       51       695110.95    749440.12   1444551.07 
   1938       52       669454.72    722111.08   1391565.79 
   1938       53       643122.55    693069.63   1336192.19 
